"lhs","rhs","support","confidence","lift"
"{rice,sugar}","{whole milk}",0.0012,1,3.9136
"{canned fish,hygiene articles}","{whole milk}",0.0011,1,3.9136
"{root vegetables,butter,rice}","{whole milk}",0.001,1,3.9136
"{root vegetables,whipped/sour cream,flour}","{whole milk}",0.0017,1,3.9136
"{butter,soft cheese,domestic eggs}","{whole milk}",0.001,1,3.9136
"{citrus fruit,root vegetables,soft cheese}","{other vegetables}",0.001,1,5.1682
"{pip fruit,butter,hygiene articles}","{whole milk}",0.001,1,3.9136
"{root vegetables,whipped/sour cream,hygiene articles}","{whole milk}",0.001,1,3.9136
"{pip fruit,root vegetables,hygiene articles}","{whole milk}",0.001,1,3.9136
"{cream cheese ,domestic eggs,sugar}","{whole milk}",0.0011,1,3.9136
"{curd,domestic eggs,sugar}","{whole milk}",0.001,1,3.9136
"{cream cheese ,domestic eggs,napkins}","{whole milk}",0.0011,1,3.9136
"{pip fruit,whipped/sour cream,brown bread}","{other vegetables}",0.0011,1,5.1682
"{tropical fruit,grapes,whole milk,yogurt}","{other vegetables}",0.001,1,5.1682
"{ham,tropical fruit,pip fruit,yogurt}","{other vegetables}",0.001,1,5.1682
"{ham,tropical fruit,pip fruit,whole milk}","{other vegetables}",0.0011,1,5.1682
"{tropical fruit,root vegetables,yogurt,oil}","{whole milk}",0.0011,1,3.9136
"{root vegetables,other vegetables,yogurt,oil}","{whole milk}",0.0014,1,3.9136
"{root vegetables,other vegetables,butter,white bread}","{whole milk}",0.001,1,3.9136
"{pork,other vegetables,butter,whipped/sour cream}","{whole milk}",0.001,1,3.9136
"{other vegetables,butter,whipped/sour cream,domestic eggs}","{whole milk}",0.0012,1,3.9136
"{tropical fruit,butter,whipped/sour cream,fruit/vegetable juice}","{other vegetables}",0.001,1,5.1682
"{whole milk,rolls/buns,soda,newspapers}","{other vegetables}",0.001,1,5.1682
"{citrus fruit,whipped/sour cream,rolls/buns,pastry}","{whole milk}",0.001,1,3.9136
"{citrus fruit,tropical fruit,root vegetables,whipped/sour cream}","{other vegetables}",0.0012,1,5.1682
"{pip fruit,root vegetables,other vegetables,bottled water}","{whole milk}",0.0011,1,3.9136
"{sausage,tropical fruit,root vegetables,rolls/buns}","{whole milk}",0.001,1,3.9136
"{other vegetables,cream cheese ,sugar}","{whole milk}",0.0015,0.9375,3.669
"{sausage,tropical fruit,root vegetables,yogurt}","{whole milk}",0.0015,0.9375,3.669
"{citrus fruit,domestic eggs,sugar}","{whole milk}",0.0014,0.9333,3.6527
"{yogurt,domestic eggs,sugar}","{whole milk}",0.0014,0.9333,3.6527
"{citrus fruit,tropical fruit,root vegetables,whole milk,yogurt}","{other vegetables}",0.0014,0.9333,4.8236
"{pip fruit,whipped/sour cream,cream cheese }","{whole milk}",0.0013,0.9286,3.6341
"{butter,whipped/sour cream,soda}","{other vegetables}",0.0013,0.9286,4.799
"{pip fruit,butter,pastry}","{other vegetables}",0.0013,0.9286,4.799
"{root vegetables,other vegetables,yogurt,rice}","{whole milk}",0.0013,0.9286,3.6341
"{beef,tropical fruit,yogurt,rolls/buns}","{whole milk}",0.0013,0.9286,3.6341
"{whipped/sour cream,house keeping products}","{whole milk}",0.0012,0.9231,3.6126
"{rice,bottled water}","{whole milk}",0.0012,0.9231,3.6126
"{tropical fruit,whipped/sour cream,soft cheese}","{other vegetables}",0.0012,0.9231,4.7706
"{root vegetables,whipped/sour cream,soft cheese}","{whole milk}",0.0012,0.9231,3.6126
"{butter,whipped/sour cream,sliced cheese}","{whole milk}",0.0012,0.9231,3.6126
"{tropical fruit,butter,hygiene articles}","{whole milk}",0.0012,0.9231,3.6126
"{tropical fruit,domestic eggs,hygiene articles}","{whole milk}",0.0012,0.9231,3.6126
"{root vegetables,whipped/sour cream,sugar}","{whole milk}",0.0012,0.9231,3.6126
"{tropical fruit,long life bakery product,napkins}","{whole milk}",0.0012,0.9231,3.6126
"{citrus fruit,root vegetables,cream cheese }","{other vegetables}",0.0012,0.9231,4.7706
"{butter,whipped/sour cream,coffee}","{whole milk}",0.0012,0.9231,3.6126
"{root vegetables,other vegetables,yogurt,hard cheese}","{whole milk}",0.0012,0.9231,3.6126
"{frankfurter,tropical fruit,root vegetables,yogurt}","{whole milk}",0.0012,0.9231,3.6126
"{pip fruit,root vegetables,other vegetables,brown bread}","{whole milk}",0.0012,0.9231,3.6126
"{tropical fruit,butter,yogurt,domestic eggs}","{whole milk}",0.0012,0.9231,3.6126
"{pip fruit,other vegetables,whipped/sour cream,domestic eggs}","{whole milk}",0.0012,0.9231,3.6126
"{citrus fruit,whole milk,whipped/sour cream,domestic eggs}","{other vegetables}",0.0012,0.9231,4.7706
"{soups,bottled beer}","{whole milk}",0.0011,0.9167,3.5875
"{grapes,onions}","{other vegetables}",0.0011,0.9167,4.7375
"{hard cheese,oil}","{other vegetables}",0.0011,0.9167,4.7375
"{citrus fruit,tropical fruit,herbs}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,domestic eggs,sugar}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,dessert,whipped/sour cream}","{other vegetables}",0.0011,0.9167,4.7375
"{root vegetables,butter,white bread}","{whole milk}",0.0011,0.9167,3.5875
"{butter,curd,domestic eggs}","{whole milk}",0.0011,0.9167,3.5875
"{citrus fruit,butter,curd}","{whole milk}",0.0011,0.9167,3.5875
"{domestic eggs,margarine,fruit/vegetable juice}","{whole milk}",0.0011,0.9167,3.5875
"{citrus fruit,whole milk,whipped/sour cream,cream cheese }","{other vegetables}",0.0011,0.9167,4.7375
"{pip fruit,other vegetables,yogurt,cream cheese }","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,curd,yogurt,domestic eggs}","{whole milk}",0.0011,0.9167,3.5875
"{root vegetables,butter,yogurt,domestic eggs}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,yogurt,whipped/sour cream,domestic eggs}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,other vegetables,whipped/sour cream,domestic eggs}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,yogurt,whipped/sour cream,fruit/vegetable juice}","{other vegetables}",0.0011,0.9167,4.7375
"{pip fruit,root vegetables,yogurt,fruit/vegetable juice}","{whole milk}",0.0011,0.9167,3.5875
"{tropical fruit,root vegetables,rolls/buns,bottled water}","{whole milk}",0.0011,0.9167,3.5875
"{curd,cereals}","{whole milk}",0.001,0.9091,3.5579
"{pastry,sweet spreads}","{whole milk}",0.001,0.9091,3.5579
"{herbs,whole milk,fruit/vegetable juice}","{other vegetables}",0.001,0.9091,4.6983
"{frankfurter,tropical fruit,frozen meals}","{other vegetables}",0.001,0.9091,4.6983
"{frankfurter,tropical fruit,frozen meals}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,butter,frozen meals}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,whipped/sour cream,hard cheese}","{other vegetables}",0.001,0.9091,4.6983
"{pork,whole milk,butter milk}","{other vegetables}",0.001,0.9091,4.6983
"{pip fruit,butter milk,fruit/vegetable juice}","{other vegetables}",0.001,0.9091,4.6983
"{frankfurter,root vegetables,sliced cheese}","{whole milk}",0.001,0.9091,3.5579
"{yogurt,oil,coffee}","{other vegetables}",0.001,0.9091,4.6983
"{root vegetables,onions,napkins}","{other vegetables}",0.001,0.9091,4.6983
"{sausage,berries,butter}","{whole milk}",0.001,0.9091,3.5579
"{hamburger meat,tropical fruit,whipped/sour cream}","{other vegetables}",0.001,0.9091,4.6983
"{butter,hygiene articles,napkins}","{whole milk}",0.001,0.9091,3.5579
"{pork,rolls/buns,waffles}","{whole milk}",0.001,0.9091,3.5579
"{whipped/sour cream,long life bakery product,napkins}","{whole milk}",0.001,0.9091,3.5579
"{sausage,butter,long life bakery product}","{whole milk}",0.001,0.9091,3.5579
"{root vegetables,butter,cream cheese }","{yogurt}",0.001,0.9091,6.5167
"{root vegetables,butter,cream cheese }","{whole milk}",0.001,0.9091,3.5579
"{sausage,pip fruit,cream cheese }","{whole milk}",0.001,0.9091,3.5579
"{root vegetables,domestic eggs,coffee}","{whole milk}",0.001,0.9091,3.5579
"{domestic eggs,margarine,bottled beer}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,root vegetables,herbs,other vegetables}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,pip fruit,yogurt,frozen meals}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,butter,yogurt,sliced cheese}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,root vegetables,yogurt,oil}","{other vegetables}",0.001,0.9091,4.6983
"{root vegetables,other vegetables,yogurt,waffles}","{whole milk}",0.001,0.9091,3.5579
"{other vegetables,curd,whipped/sour cream,cream cheese }","{yogurt}",0.001,0.9091,6.5167
"{pip fruit,root vegetables,other vegetables,cream cheese }","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,butter,yogurt,white bread}","{other vegetables}",0.001,0.9091,4.6983
"{citrus fruit,other vegetables,yogurt,frozen vegetables}","{whole milk}",0.001,0.9091,3.5579
"{citrus fruit,tropical fruit,curd,yogurt}","{whole milk}",0.001,0.9091,3.5579
"{other vegetables,butter,whipped/sour cream,napkins}","{whole milk}",0.001,0.9091,3.5579
"{pork,root vegetables,other vegetables,butter}","{whole milk}",0.001,0.9091,3.5579
"{root vegetables,other vegetables,rolls/buns,brown bread}","{whole milk}",0.001,0.9091,3.5579
"{citrus fruit,other vegetables,butter,bottled water}","{whole milk}",0.001,0.9091,3.5579
"{citrus fruit,tropical fruit,other vegetables,domestic eggs}","{whole milk}",0.001,0.9091,3.5579
"{tropical fruit,whole milk,whipped/sour cream,fruit/vegetable juice}","{other vegetables}",0.001,0.9091,4.6983
"{citrus fruit,other vegetables,soda,fruit/vegetable juice}","{root vegetables}",0.001,0.9091,8.3404
"{tropical fruit,root vegetables,yogurt,pastry}","{whole milk}",0.001,0.9091,3.5579
"{citrus fruit,root vegetables,whole milk,yogurt,whipped/sour cream}","{other vegetables}",0.001,0.9091,4.6983
"{liquor,red/blush wine}","{bottled beer}",0.0019,0.9048,11.2353
"{tropical fruit,whipped/sour cream,fruit/vegetable juice}","{other vegetables}",0.0019,0.9048,4.676
"{pip fruit,butter,whipped/sour cream}","{whole milk}",0.0018,0.9,3.5223
"{tropical fruit,whipped/sour cream,domestic eggs}","{whole milk}",0.0018,0.9,3.5223
"{tropical fruit,root vegetables,butter,yogurt}","{whole milk}",0.0017,0.8947,3.5017
"{ham,tropical fruit,pip fruit}","{other vegetables}",0.0016,0.8889,4.5939
"{tropical fruit,root vegetables,onions}","{other vegetables}",0.0016,0.8889,4.5939
"{citrus fruit,cream cheese ,domestic eggs}","{whole milk}",0.0016,0.8889,3.4788
"{whipped/sour cream,rolls/buns,margarine}","{whole milk}",0.0016,0.8889,3.4788
"{citrus fruit,tropical fruit,root vegetables,whole milk}","{other vegetables}",0.0032,0.8857,4.5775
"{tropical fruit,root vegetables,herbs}","{whole milk}",0.0015,0.8824,3.4532
"{root vegetables,butter milk,yogurt}","{whole milk}",0.0015,0.8824,3.4532
"{citrus fruit,whipped/sour cream,pastry}","{whole milk}",0.0015,0.8824,3.4532
"{citrus fruit,root vegetables,pastry}","{other vegetables}",0.0015,0.8824,4.5601
"{whole milk,yogurt,whipped/sour cream,frozen vegetables}","{other vegetables}",0.0015,0.8824,4.5601
"{root vegetables,whole milk,yogurt,frozen vegetables}","{other vegetables}",0.0015,0.8824,4.5601
"{beef,tropical fruit,other vegetables,rolls/buns}","{whole milk}",0.0015,0.8824,3.4532
"{root vegetables,yogurt,rice}","{other vegetables}",0.0014,0.875,4.5221
"{root vegetables,yogurt,rice}","{whole milk}",0.0014,0.875,3.4244
"{tropical fruit,whipped/sour cream,cream cheese }","{other vegetables}",0.0014,0.875,4.5221
"{root vegetables,whipped/sour cream,white bread}","{other vegetables}",0.0014,0.875,4.5221
"{beef,tropical fruit,whipped/sour cream}","{other vegetables}",0.0014,0.875,4.5221
"{pork,butter,whipped/sour cream}","{whole milk}",0.0014,0.875,3.4244
"{pip fruit,root vegetables,brown bread}","{whole milk}",0.0014,0.875,3.4244
"{root vegetables,onions,frozen vegetables}","{other vegetables}",0.0013,0.8667,4.4791
"{frozen vegetables,rolls/buns,margarine}","{whole milk}",0.0013,0.8667,3.3918
"{tropical fruit,root vegetables,whole milk,oil}","{other vegetables}",0.0013,0.8667,4.4791
